No	ExtEHR resource	ExtEHR field	ExtEHR #	ExtEHR description	ExtEHR type	Ext binding	ExtEHR source	Mapped Resource	Mapped Field	EQ				Modeling	Needs work	Actor	Section											
52	EHDSAlert	 text	 0..1	 A human-readable narrative that contains a summary of the flag and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it \"clinically safe\" for a human to just read the narrative.																								
53	Example 1: intolerance to aspirin due to gastrointestinal bleeding.																											
54	Example 2: intolerance to captopril because of cough (the patient is not allergic but can't tolerate it because of persistent cough)																											
55	Example 3: the patient has a rare disease that requires special treatment																											
56	Example 4: Airway Alert / Difficult Intubation																											
57	Example 5: Diagnoses such as malignant hyperthermia, porphyria, and bleeding disorders, special treatments like anticoagulants or immunosuppressants, implanted devices.																											
58	Example 6: transplanted organs illustrate other information that has to be taken into account in a healthcare contact.																											
59	Example 7: participation in a clinical trial that has to be taken into account in a healthcare contact.	 string	   	 Text 																								
60	EHDSAlert	 priority	 0..*	 A code that identifies the priority of the alert.	 CodeableConcept	 hl7:Flag-priority-code (preferred)  	 Priority 																					
61	EHDSAlert	 status	 0..1	 Current status of the flag, Indicates whether this flag is active and needs to be displayed to a user, or whether it is no longer needed or was entered in error.	 CodeableConcept	 hl7:Flag-status (preferred)  	 Status 																					
62	EHDSAlert	 code	 1..1	 A coded or textual representation of the flag.	 CodeableConcept	 SNOMED CT (preferred)  	 Code 																					
63	EHDSAlert	 period	 0..1	 Time period when flag is active. The period of time from the activation of the flag to inactivation of the flag. If the flag is active, the end of the period should be unspecified.	 Period	   	 Period 																					
64	EHDSAllergyIntolerance	 	 0..*	 EHDS refined base model for allergy/intolerance	 	   	 Allergy intolerance model 	EuAllergyIntolerance								R												
65	EHDSAllergyIntolerance	 header	 1..1	 Common header for all patient-related data	 Base	   	 Common header for all patient-related data 																					
66	EHDSAllergyIntolerance	 header.subject	 1..1	 Patient/subject information	 EHDSPatient	   	 Subject 	EuAllergyIntolerance	patient	EQ		EuPatient				R												
67	EHDSAllergyIntolerance	 header.identifier	 0..*	 Business identifier for the object	 Identifier	   	 Business identifier for the object 	EuAllergyIntolerance	identifier	EQ						R												
68	EHDSAllergyIntolerance	 header.authorship	 1..*	 Resource authoring details	 Base	   	 Authorship 																					
69	EHDSAllergyIntolerance	authorEHDSHealthProfessional	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSHealthProfessional	   	 Author 	EuPractitioner		EQ						R												
70	EHDSAllergyIntolerance	authorEHDSOrganisation	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSOrganisation	   	 Author 	EuOrganization		EQ						R												
71	EHDSAllergyIntolerance	authorEHDSDevice	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSDevice	   	 Author 	EuDevice		EQ						R												
72	EHDSAllergyIntolerance	 header.authorship.datetime	 1..1	 Date and time of the issuing the document/resource by its author.	 dateTime	   	 Date and time of authoring/issuing 	EuAllergyIntolerance	recordedDate	EQ						R												
73	EHDSAllergyIntolerance	 header.lastUpdate	 0..1	 Date and time of the last update to the document/information	 dateTime	   	 Date and time of the last update to the resource 	EuAllergyIntolerance	meta.lastUpdated																			
74	EHDSAllergyIntolerance	 header.status	 1..1	 Status of the resource	 CodeableConcept	   	 Status of the resource 	EuAllergyIntolerance	verificationStatus																			
75	EHDSAllergyIntolerance	 header.statusReasonCodeableConcept 	 0..1	 Reason for the current status of the resource.	 CodeableConcept	   	 Reason for the current status of the resource. 	EuAllergyIntolerance	verificationStatus.coding																			
76	EHDSAllergyIntolerance	 header.statusReasonString	 0..1	 Reason for the current status of the resource.	 string	   	 Reason for the current status of the resource. 		verificationStatus.text																			
77	EHDSAllergyIntolerance	 header.language	 0..1	 Language in which the resource is written. Language is expressed by the IETF language tag.	 CodeableConcept	 BCP 47 (preferred)  	 Language 	EuAllergyIntolerance	language																			
78	EHDSAllergyIntolerance	 header.version	 0..1	 Business version of the resource.	 string	   	 Version 	EuAllergyIntolerance	meta.versionId																			
79	EHDSAllergyIntolerance	 presentedForm	 0..*	 A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	 EHDSAttachment	   	 A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document 																					
80	EHDSAllergyIntolerance	 agentOrAllergen	 1..1	 A specific allergen or other agent/substance (drug, food, chemical agent, etc.) to which the patient has an adverse reaction propensity.	 CodeableConcept	 1.3.6.1.4.1.12559.11.10.1.3.1.42.24 **eHDSIActiveIngredient** (ATC, used in MH@EU)	 1.3.6.1.4.1.12559.11.10.1.3.1.42.61 eHDSISubstance (EMA SMS, used in MH@EU)	EuAllergyIntolerance	code	EQ						R												
80	EHDSAllergyIntolerance	 agentOrAllergen	 1..1	 A specific allergen or other agent/substance (drug, food, chemical agent, etc.) to which the patient has an adverse reaction propensity.	 CodeableConcept	 1.3.6.1.4.1.12559.11.10.1.3.1.42.24 **eHDSIActiveIngredient** (ATC, used in MH@EU)	 1.3.6.1.4.1.12559.11.10.1.3.1.42.61 eHDSISubstance (EMA SMS, used in MH@EU)	EuAllergyIntolerance	reaction.substance	EQ						R												
81	EHDSAllergyIntolerance	 typeOfPropensity	 0..1	 This element describes whether this condition refers to an allergy, non-allergy intolerance, or unknown class of intolerance (not known to be allergy or intolerance)	 CodeableConcept	 1.3.6.1.4.1.12559.11.10.1.3.1.42.18 eHDSIAdverseEventType (SCT, used in MH@EU)	 http://hl7.org/fhir/ValueSet/allergy-intolerance-type (HL7, required in HL7 FHIR) (preferred)  	EuAllergyIntolerance	type	EQ						R												
82	EHDSAllergyIntolerance	 description	 0..1	 Textual description of the allergy or intolerance	 string	   	 Textual description of the allergy or intolerance 	EuAllergyIntolerance	text	TB						R	Procedure											
83	EHDSAllergyIntolerance	 criticality	 0..1	 Estimate of the potential clinical harm, or seriousness, of a reaction to an identified substance.	 CodeableConcept	 1.3.6.1.4.1.12559.11.10.1.3.1.42.57 eHDSICriticality (HL7, used in MH@EU)	 http://hl7.org/fhir/ValueSet/allergy-intolerance-criticality (HL7, required in HL7 FHIR) (preferred)  	EuAllergyIntolerance	criticality	EQ						R	Procedure											
84	EHDSAllergyIntolerance	 certainty	 0..1	 Assertion about the certainty associated with a propensity, or potential risk, of a reaction to the identified substance. Diagnostic and /or clinical evidence of condition	 CodeableConcept	 1.3.6.1.4.1.12559.11.10.1.3.1.42.58 eHDSIAllergyCertainty (HL7, used in MH@EU) 	 http://hl7.org/fhir/ValueSet/allergyintolerance-verification (HL7, required in HL7 FHIR) (preferred)  	EuAllergyIntolerance	verificationStatus	EQ						R												
85	EHDSAllergyIntolerance	 status	 0..1	 Current status of the allergy or intolerance, for example, whether it is active, in remission, resolved, etc.	 CodeableConcept	 1.3.6.1.4.1.12559.11.10.1.3.1.42.59 eHDSIAllergyStatus (HL7, used in MH@EU)	 http://hl7.org/fhir/ValueSet/allergyintolerance-clinical (HL7, required in HL7 FHIR) (preferred)  	EuAllergyIntolerance	clinicalStatus	EQ						R												
86	EHDSAllergyIntolerance	 onsetDate	 0..1	 When allergy or intolerance was identified	 dateTime	   	 When allergy or intolerance was identified 	EuAllergyIntolerance	onsetPeriod	EQ						R	Procedure											
86	EHDSAllergyIntolerance	 onsetDate	 0..1	 When allergy or intolerance was identified	 dateTime	   	 When allergy or intolerance was identified 	EuAllergyIntolerance	onsetDateTime	EQ						R	Procedure											
87	EHDSAllergyIntolerance	 endDate	 0..1	 Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition)	 dateTime	   	 Date of resolution of the allergy (e.g. when the clinician deemed there is no longer any need to track the underlying condition) 	EuAllergyIntolerance	extension[abatement].valueDateTime	EQ						R												
88	EHDSAllergyIntolerance	 reaction	 0..*	 Adverse Reaction Events linked to exposure to substance.	 Base	   	 Adverse Reaction Events linked to exposure to substance. 	EuAllergyIntolerance	reaction	EQ						R	Procedure											
89	EHDSAllergyIntolerance	 reaction.manifestation	 0..*	 Description of the clinical manifestation of the allergic reaction. Example: anaphylactic shock, angioedema. (the clinical manifestation also gives information about the severity of the observed reaction).	 CodeableConcept	 1.3.6.1.4.1.12559.11.10.1.3.1.42.5 eHDSIIllnessandDisorder (ICD-10, alternative in MH@EU)	 1.3.6.1.4.1.12559.11.10.1.3.1.42.11 eHDSIReactionAllergy (SCT, alternative in MH@EU)	EuAllergyIntolerance	reaction.manifestation	EQ						R	Procedure											
90	EHDSAllergyIntolerance	 reaction.date	 0..1	 Date and time of allergy manifestation	 dateTime	   	 Date and time of allergy manifestation 	EuAllergyIntolerance	reaction.onset	EQ						R												
91	EHDSAllergyIntolerance	 reaction.severity	 0..1	 Severity of the clinical manifestation of the allergic reaction.	 CodeableConcept	 1.3.6.1.4.1.12559.11.10.1.3.1.42.13 eHDSISeverity (SCT, used in MH@EU)	 http://hl7.org/fhir/ValueSet/reaction-event-severity (HL7, Required in HL7 FHIR) (preferred)  	EuAllergyIntolerance	reaction.severity	EQ						R	Procedure											
92	EHDSAllergyIntolerance	 reaction.onsetDate	 0..1	 Date of the observation of the reaction	 dateTime	   	 Date of the observation of the reaction 																					
93	EHDSAppointment	 	 0..*	 EHDS refined base model for Appointment. This is a simplified model with minimal information - it is not intended to cover the full functionality of booking systems.	 	   	 Appointment model 																					
94	EHDSAppointment	 identifier	 0..*	 Appointment identifier	 Identifier	   	 Appointment identifier 																					
95	EHDSAppointment	 subject	 0..1	 The patient associated with the appointment.	 EHDSPatient	   	 The patient associated with the appointment. 																					
96	EHDSAppointment	 status	 1..1	 The overall status of the Appointment.	 CodeableConcept	 HL7 Appointment status (preferred)  	 The overall status of the Appointment. 																					
97	EHDSAppointment	 class	 0..*	 Classification of patient encounter (e.g. inpatient, outpatient, emergency).	 CodeableConcept	 HL7 Encounter class (preferred)  	 Classification of patient encounter (e.g. inpatient, outpatient, emergency). 																					
98	EHDSAppointment	 serviceType	 0..*	 The specific service that is to be performed during this appointment.	 CodeableConcept	 SNOMED CT (preferred)  	 The specific service that is to be performed during this appointment. 																					
99	EHDSAppointment	 specialty	 0..*	 The specialty of a practitioner that would be required to perform the service requested in this appointment	 CodeableConcept	 SNOMED CT (preferred)  	 The specialty of a practitioner that would be required to perform the service requested in this appointment 																					
100	EHDSAppointment	 start	 0..1	 Date and time that the appointment is to take place.	 dateTime	   	 Date and time that the appointment is to take place. 																					
101	EHDSAppointment	 end	 0..1	 Date and time that the appointment is to conclude.	 dateTime	   	 Date and time that the appointment is to conclude. 																					
102	EHDSAppointment	 note	 0..*	 Additional notes/comments about the appointment.	 string	   	 Additional notes/comments about the appointment. 																					
103	EHDSAttachment	 	 0..*	 EHDS refined base model for This type is for containing or referencing attachments - additional data content defined in other formats. The most common use of this type is to include images or reports in some report format such as PDF. However, it can be used for any data that has a MIME type.	 	   	 Attachment model 	EuAttachment								R												
104	EHDSAttachment	 contentType	 0..1	 Mime type of the content, with charset etc.	 CodeableConcept	 BCP-13 (preferred)  	 Mime type of the content, with charset etc. 	EuAttachment	contentType	SB	FHIR requires binding.					R												
105	EHDSAttachment	 language	 0..1	 Human language of the content	 CodeableConcept	 BCP 47 (preferred)  	 Human language of the content 	EuAttachment	language	EQ						R												
106	EHDSAttachment	 data	 0..1	 The actual data of the attachment - a sequence of bytes, base64 encoded.	 base64Binary	   	 The actual data of the attachment - a sequence of bytes, base64 encoded. 	EuAttachment	data	EQ						R												
107	EHDSAttachment	 url	 0..1	 A location where the data can be accessed.	 uri	   	 A location where the data can be accessed. 	EuAttachment	url	EQ						R												
108	EHDSAttachment	 size	 0..1	 The number of bytes of data that make up this attachment (before base64 encoding).	 integer64	   	 The number of bytes of data that make up this attachment (before base64 encoding). 	EuAttachment	size	EQ						R												
109	EHDSAttachment	 title	 0..1	 A label or set of text to display in place of the data.	 string	   	 A label or set of text to display in place of the data. 	EuAttachment	title	EQ						R												
110	EHDSBodyStructure	 	 0..*	 EHDS refined base model for Body structure	 	   	 Body structure model 																					
111	EHDSBodyStructure	 identifier	 0..*	 Identifier for this instance of the anatomical structure.	 Identifier	   	 Identifier for this instance of the anatomical structure. 																					
112	EHDSBodyStructure	 morphology	 0..1	 The kind of structure being represented by the body structure at BodyStructure.location. This can define both normal and abnormal morphologies.	 CodeableConcept	 SNOMED CT (preferred)  	 The kind of structure being represented by the body structure at BodyStructure.location. This can define both normal and abnormal morphologies. 																					
113	EHDSBodyStructure	 location	 0..1	 Body site	 CodeableConcept	 SNOMED CT (preferred)  	 Body site 																					
114	EHDSBodyStructure	 locationQualifier	 0..*	 Additional qualifier of the body structure (e.g. upper, lower, left side).	 CodeableConcept	 SNOMED CT (preferred)  	 Additional qualifier of the body structure (e.g. upper, lower, left side). 																					
115	EHDSBodyStructure	 laterality	 0..1	 Body structure laterality (e.g. left, right).	 CodeableConcept	 SNOMED CT (preferred)  	 Body structure laterality (e.g. left, right). 																					
116	EHDSBodyStructure	 description	 0..1	 Textual description of the body structure	 string	   	 Textual description of the body structure 																					
117	EHDSCarePlan	 	 0..*	 EHDS simplified model for care plan. The model includes very minimal information and is not designed to cover the full functionality of care plans.	 	   	 Care plan model 	EuCarePlan								R												
118	EHDSCarePlan	 header	 1..1	 Common header for all patient-related data	 Base	   	 Common header for all patient-related data 																					
119	EHDSCarePlan	 header.subject	 1..1	 Patient/subject information	 EHDSPatient	   	 The patient whose intended care is described by the plan. 	EuCarePlan	subject	EQ		EuPatient				R												
120	EHDSCarePlan	 header.identifier	 0..*	 Business identifier for the object	 Identifier	   	 Identifier for the care plan 	EuCarePlan	identifier	EQ						R												
121	EHDSCarePlan	 header.authorship	 1..*	 Resource authoring details	 Base	   	 Authorship 	EuCarePlan	contributor	EQ		EuPractitionerRole				R												
122	EHDSCarePlan	 header.authorship.author[x]	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSHealthProfessional	   	 Author 																					
123	EHDSCarePlan	 header.authorship.author[x]	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSOrganisation	   	 Author 																					
124	EHDSCarePlan	 header.authorship.author[x]	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSDevice	   	 Author 																					
125	EHDSCarePlan	 header.authorship.datetime	 1..1	 Date and time of the issuing the document/resource by its author.	 dateTime	   	 Date and time of authoring/issuing 	EuCarePlan	created	EQ						R												
126	EHDSCarePlan	 header.lastUpdate	 0..1	 Date and time of the last update to the document/information	 dateTime	   	 Date and time of the last update to the resource 	EuCarePlan	meta.lastUpdated	EQ		EuPractitionerRole				R												
127	EHDSCarePlan	 header.status	 1..1	 Status of the resource	 CodeableConcept	 HL7 Request status (preferred)  	 Indicates whether the plan is currently being acted upon, represents future intentions or is now a historical record. 	EuCarePlan	status	SB	Source binding is preferred, target required.					R	Recommendation											
128	EHDSCarePlan	 header.statusReason[x]	 0..1	 Reason for the current status of the resource.	 CodeableConcept	   	 Reason for the current status of the resource. 							No field for statusReason, will require an extension														
129	EHDSCarePlan	 header.statusReason[x]	 0..1	 Reason for the current status of the resource.	 string	   	 Reason for the current status of the resource. 																					
130	EHDSCarePlan	 header.language	 0..1	 Language in which the resource is written. Language is expressed by the IETF language tag.	 CodeableConcept	 BCP 47 (preferred)  	 Language 	EuCarePlan	language	EQ						R												
131	EHDSCarePlan	 header.version	 0..1	 Business version of the resource.	 string	   	 Version 	EuCarePlan	meta.versionId	EQ						R												
132	EHDSCarePlan	 presentedForm	 0..*	 A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	 EHDSAttachment	   	 A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document 							No field to map this element, will require and extension														
133	EHDSCarePlan	 title	 0..1	 Human-friendly name for the care plan	 string	   	 Human-friendly name for the care plan 	EuCarePlan	title	EQ						R	Recommendation											
133	EHDSCarePlan	 title	 0..1	 Human-friendly name for the care plan	 string	   	 Human-friendly name for the care plan 	EuCarePlan	title.extension[http://hl7.org/fhir/StructureDefinition/rendering-xhtml]	SB						R												
134	EHDSCarePlan	 description	 0..1	 A description of the scope and nature of the plan.	 string	   	 A description of the scope and nature of the plan. 	EuCarePlan	description	SB	Source is modelled as Narrative (html), target as string					R	Recommendation											
134	EHDSCarePlan	 description						EuCarePlan	description.extension[http://hl7.org/fhir/StructureDefinition/rendering-xhtml]	SB						R												
135	EHDSCarePlan	 period	 0..1	 Indicates when the plan did (or is intended to) come into effect and end.	 Period	   	 Indicates when the plan did (or is intended to) come into effect and end. 	EuCarePlan	subject	EQ		EuPatient				R												
136	EHDSCarePlan	 addresses	 0..*	 Conditions/problems/concerns/diagnoses/etc. whose management and/or mitigation are handled by this plan.	 CodeableConcept	 ICD-10, SNOMED CT, Orphacode (preferred)  	 Conditions/problems/concerns/diagnoses/etc. whose management and/or mitigation are handled by this plan. 																					
137	EHDSCarePlan	 activity[x]	 0..1	 The details of the proposed activity represented in a specific resource.	 string	   	 The details of the proposed activity represented in a specific resource. 	EuCarePlan	activity	EQ						R	Recommendation											
138	EHDSCarePlan	 activity[x]	 0..1	 The details of the proposed activity represented in a specific resource.	 Reference	   	 The details of the proposed activity represented in a specific resource. 																					
139	EHDSCondition	 	 0..*	 EHDS refined base model for a clinical condition, problem, diagnosis, or other event, situation, issue, or clinical concept that has risen to a level of concern.	 	   	 Condition model 	EuCondition								R												R
140	EHDSCondition	 header	 1..1	 Common header for all patient-related data	 Base	   	 Common header for all patient-related data 	EuCondition																				
141	EHDSCondition	 header.subject	 1..1	 Patient/subject information	 EHDSPatient	   	 Subject 	EuCondition	subject	EQ						R												
142	EHDSCondition	 header.identifier	 0..*	 Business identifier for the object	 Identifier	   	 Business identifier for the object 	EuCondition	identifier	EQ						R												
143	EHDSCondition	 header.authorship	 1..*	 Resource authoring details	 Base	   	 Authorship 	EuCondition																				
144	EHDSCondition	 header.authorship.author[x]	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSHealthProfessional	   	 Author 	EuCondition	participant	EQ					Define if slices are needed	R												
145	EHDSCondition	 header.authorship.author[x]	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSOrganisation	   	 Author 	EuCondition	participant	EQ						R												
146	EHDSCondition	 header.authorship.author[x]	 1..1	 Author(s) by whom the resource was/were authored. Multiple authors could be provided.	 EHDSDevice	   	 Author 	EuCondition	participant	EQ						R												
147	EHDSCondition	 header.authorship.datetime	 1..1	 Date and time of the issuing the document/resource by its author.	 dateTime	   	 Date and time of authoring/issuing 	EuCondition	recordedDate	EQ						R												
148	EHDSCondition	 header.lastUpdate	 0..1	 Date and time of the last update to the document/information	 dateTime	   	 Date and time of the last update to the resource 	EuCondition	meta.lastUpdated	EQ						R												
149	EHDSCondition	 header.status	 1..1	 Status of the resource	 CodeableConcept	   	 Status of the resource 	EuCondition	status	EQ						R												
150	EHDSCondition	 header.statusReason[x]	 0..1	 Reason for the current status of the resource.	 CodeableConcept	   	 Reason for the current status of the resource. 	EuCondition	extension[status-reason]	EQ						R												
151	EHDSCondition	 header.statusReason[x]	 0..1	 Reason for the current status of the resource.	 string	   	 Reason for the current status of the resource. 	EuCondition	extension[status-reason].value[x]	EQ						R												
152	EHDSCondition	 header.language	 0..1	 Language in which the resource is written. Language is expressed by the IETF language tag.	 CodeableConcept	 BCP 47 (preferred)  	 Language 	EuCondition	language	EQ						R												
153	EHDSCondition	 header.version	 0..1	 Business version of the resource.	 string	   	 Version 	EuCondition	meta.versionId	EQ						R												
154	EHDSCondition	 presentedForm	 0..*	 A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document	 EHDSAttachment	   	 A narrative easy-to-read representation of the full data set, e.g. PDF-version of a document 	EuCondition	text	EQ						R												
155	EHDSCondition	 problem	 1..1	 Code identifying the condition, problem or diagnosis	 CodeableConcept	 ICD-10, SNOMED CT, ICD-O, Orphacode if rare disease is diagnosed (preferred)  	 Code identifying the condition, problem or diagnosis 	EuCondition	code								Impression											
